X,Y,Angle,Length
237.500,95.000,-66.371,17.464
317.000,244.500,-42.510,16.279
468.500,152.500,-78.690,15.297
531.500,88.000,-8.746,13.153
156.500,175.500,-39.289,14.213
817.500,202.500,-21.038,13.928
738.000,39.000,-141.340,12.806
184.000,297.000,-50.194,15.620
328.000,457.000,-97.125,16.125
385.500,464.000,-113.629,17.464
713.000,554.000,-113.962,19.698
485.000,464.500,-17.354,16.763
724.667,704.667,-38.660,18.950
417.333,834.667,-38.157,17.075
136.000,78.000,-78.690,14.907
90.667,12.667,-23.629,17.333
32.000,601.333,-24.775,14.360
903.333,336.000,-10.620,16.221
